sample,species,call_type,start,end,aug_method
FR002A_00044660_20250403T050000_16kHz_1620_1650.wav,Masked Owl,chattering,8.93,19.2,original
FR002A_00044660_20250403T050000_16kHz_1650_1680.wav,Masked Owl,chattering,6.31,16.11,original
FR002A_00044660_20250403T050000_16kHz_1680_1710.wav,Masked Owl,chattering,3.37,14.26,original
FR002A_00044660_20250403T050000_16kHz_1710_1740.wav,Masked Owl,chattering,8.84,19.73,original
FR002A_00044660_20250403T050000_16kHz_1740_1770.wav,Masked Owl,chattering,10.1,18.81,original
FR002A_00044783_20250423T010000_16kHz_3540_3570.wav,Masked Owl,screech,4.34,7.39,original
FR002A_00044783_20250423T010000_16kHz_2580_2610.wav,Masked Owl,screech,2.49,4.83,original
FR002A_00044783_20250423T010000_16kHz_2910_2940.wav,Masked Owl,screech,5.56,7.91,original
FR002A_00044783_20250423T010000_16kHz_2910_2940(1).wav,Masked Owl,chattering,11.46,14.07,original
FR002A_00044783_20250423T010000_16kHz_2940_2970.wav,Masked Owl,chattering,3.0,7.01,original
FR002A_00044783_20250423T010000_16kHz_3330_3360.wav,Masked Owl,screech,17.75,20.21,original
FR002A_00044783_20250423T010000_16kHz_3330_3360(1).wav,Masked Owl,chattering,22.46,25.07,original
FR002A_00044783_20250423T010000_16kHz_3330_3360(2).wav,Masked Owl,chattering,3.98,7.2,original
FR002A_00044783_20250423T010000_16kHz_3330_3360(3).wav,Masked Owl,chattering,25.24,27.93,original
FR002A_00045551_20250403T050000_16kHz_1440_1470.wav,Masked Owl,screech,10.47,12.9,original
FR002A_00045551_20250403T050000_16kHz_1440_1470(1).wav,Masked Owl,screech,23.83,26.46,original
FR002A_00045551_20250403T050000_16kHz_1950_1980.wav,Masked Owl,chattering,10.12,13.08,original
FR002A_00045551_20250403T050000_16kHz_2010_2040.wav,Masked Owl,screech,22.09,26.81,original
FR002A_00045551_20250403T050000_16kHz_3215_3245.wav,Masked Owl,screech,22.39,25.9,original
FR002A_00045551_20250403T050000_16kHz_3245_3275.wav,Masked Owl,screech,2.06,4.08,original
FR002A_00045551_20250403T050000_16kHz_3300_3330.wav,Masked Owl,screech,6.08,8.31,original
FR002A_00045551_20250403T050000_16kHz_3360_3390.wav,Masked Owl,screech,16.77,19.38,original
FR002A_00045551_20250403T050000_16kHz_3390_3420.wav,Masked Owl,screech,6.43,9.48,original
FR002A_00045551_20250403T050000_16kHz_3480_3510.wav,Masked Owl,screech,10.67,12.57,original
FR002A_00045551_20250403T050000_16kHz_3510_3540.wav,Masked Owl,screech,26.91,29.99,original
FR002A_00045551_20250427T210000_16kHz_170_200.wav,Masked Owl,screech,8.97,12.12,original
FR002A_00045551_20250427T210000_16kHz_1770_1800.wav,Masked Owl,screech,18.95,22.66,original
FR002A_00045551_20250427T210000_16kHz_2405_2435.wav,Masked Owl,screech,18.42,21.37,original
FR002A_00045551_20250427T210000_16kHz_2405_2435(1).wav,Masked Owl,screech,22.18,25.54,original
FR002A_00045551_20250427T210000_16kHz_2580_2610.wav,Masked Owl,screech,9.18,11.84,original
FR002A_00045551_20250427T210000_16kHz_2580_2610(1).wav,Masked Owl,screech,15.15,17.31,original
FR002A_00045551_20250427T210000_16kHz_2790_2820.wav,Masked Owl,screech,22.66,24.96,original
FR002A_00045551_20250427T210000_16kHz_2880_2910.wav,Masked Owl,screech,4.24,6.78,original
FR002A_00045551_20250427T210000_16kHz_3120_3150.wav,Masked Owl,screech,1.3,4.63,original
FR002A_00045551_20250427T210000_16kHz_3180_3210.wav,Masked Owl,screech,23.27,26.82,original
FR002A_00045551_20250427T210000_16kHz_3510_3540.wav,Masked Owl,screech,16.83,19.85,original
FR002A_00045551_20250427T210000_16kHz_2580_2610(2).wav,Masked Owl,screech,18.6,20.33,original
FR002A_00045551_20250427T210000_16kHz_2670_2700.wav,Masked Owl,screech,21.07,23.53,original
FR002A_00045551_20250427T220000_16kHz_1050_1080.wav,Masked Owl,screech,26.12,29.45,original
FR002A_00045551_20250427T220000_16kHz_2190_2220.wav,Masked Owl,screech,26.18,29.37,original
FR002A_00045551_20250427T220000_16kHz_2250_2280.wav,Masked Owl,screech,1.18,4.26,original
FR002A_00045551_20250427T220000_16kHz_2910_2940.wav,Masked Owl,chattering,13.77,17.16,original
FR002A_00045551_20250427T230000_16kHz_1230_1260.wav,Masked Owl,screech,25.27,28.27,original
FR002A_00045551_20250427T230000_16kHz_1560_1590.wav,Masked Owl,screech,14.33,17.69,original
FR002A_00045551_20250427T230000_16kHz_1800_1830.wav,Masked Owl,screech,6.53,9.77,original
FR002A_00045551_20250427T230000_16kHz_3390_3420.wav,Masked Owl,screech,4.31,7.73,original
FR002A_00045551_20250427T230000_16kHz_3360_3390.wav,Masked Owl,screech,19.72,22.59,original
FR002A_00045551_20250427T230000_16kHz_3420_3450.wav,Masked Owl,chattering,0.38,2.26,original
FR002A_00045551_20250427T230000_16kHz_3410_3440.wav,Masked Owl,chattering,8.6,10.32,original
FR002A_00045551_20250427T230000_16kHz_3450_3480.wav,Masked Owl,chattering,12.09,14.34,original
FR002A_00045551_20250427T230000_16kHz_3450_3480(1).wav,Masked Owl,chattering,14.08,15.89,original
FR002A_00045551_20250427T230000_16kHz_3450_3480(2).wav,Masked Owl,chattering,16.28,19.56,original
FR002A_00045551_20250427T230000_16kHz_3480_3510.wav,Masked Owl,screech,9.32,12.01,original
FR002A_00045551_20250427T230000_16kHz_3480_3510(1).wav,Masked Owl,screech,12.34,15.26,original
FR002A_00045551_20250427T230000_16kHz_3540_3570.wav,Masked Owl,screech,4.04,8.02,original
FR002A_00045551_20250427T230000_16kHz_3540_3570(1).wav,Masked Owl,screech,8.2,11.13,original
FR002A_00045551_20250428T010000_16kHz_690_720.wav,Masked Owl,screech,11.47,14.1,original
FR002A_00045551_20250428T010000_16kHz_2040_2070.wav,Masked Owl,screech,14.48,17.1,original
FR002A_00045551_20250428T010000_16kHz_2760_2790.wav,Masked Owl,screech,3.6,6.34,original
FR002A_00045551_20250428T010000_16kHz_600_630.wav,Masked Owl,screech,1.48,4.5,original
FR002A_00045551_20250428T010000_16kHz_2040_2070(1).wav,Masked Owl,chattering,19.14,24.53,original
FR002A_00045551_20250428T010000_16kHz_2730_2760.wav,Masked Owl,screech,5.98,8.79,original
FR002A_00045720_20250403T050000_16kHz_1420_1450.wav,Masked Owl,screech,17.09,20.07,original
FR002A_00045720_20250403T050000_16kHz_3510_3540.wav,Masked Owl,screech,14.27,17.1,original
FR002A_00045720_20250403T050000_16kHz_1505_1535.wav,Masked Owl,chattering,22.15,27.37,original
FR002A_00045720_20250403T050000_16kHz_1535_1565.wav,Masked Owl,chattering,2.9,6.59,original
FR002A_00045720_20250403T050000_16kHz_1530_1560.wav,Masked Owl,chattering,11.68,14.61,original
FR002A_00045720_20250403T050000_16kHz_1380_1410.wav,Masked Owl,screech,24.68,27.58,original
FR002A_00045720_20250403T050000_16kHz_1300_1330.wav,Masked Owl,screech,18.39,20.61,original
FR002A_00045720_20250403T050000_16kHz_1440_1470.wav,Masked Owl,screech,10.94,13.89,original
FR002A_00045720_20250403T050000_16kHz_1650_1680.wav,Masked Owl,chattering,5.79,9.27,original
FR002A_00045720_20250403T050000_16kHz_1680_1710.wav,Masked Owl,chattering,2.91,8.09,original
FR002A_00045720_20250403T050000_16kHz_1710_1740.wav,Masked Owl,chattering,9.66,13.18,original
FR002A_00045720_20250403T050000_16kHz_1770_1800.wav,Masked Owl,chattering,20.62,24.9,original
FR002A_00045720_20250403T050000_16kHz_1830_1860.wav,Masked Owl,chattering,1.69,5.85,original
FR002A_00045720_20250403T050000_16kHz_2130_2160.wav,Masked Owl,chattering,2.6,4.98,original
FR002A_00045720_20250403T050000_16kHz_3210_3240.wav,Masked Owl,screech,15.27,17.31,original
FR002A_00045720_20250403T050000_16kHz_3270_3300.wav,Masked Owl,screech,23.12,26.26,original
FR002A_00045720_20250403T050000_16kHz_3360_3390.wav,Masked Owl,screech,4.13,7.27,original
FR002A_00045720_20250423T010000_16kHz_3510_3540.wav,Masked Owl,screech,19.34,21.64,original
FR002A_00045720_20250423T010000_16kHz_330_360.wav,Masked Owl,screech,26.43,28.74,original
FR002A_00045720_20250423T010000_16kHz_3330_3360.wav,Masked Owl,screech,2.78,5.05,original
FR002A_00045720_20250423T010000_16kHz_3060_3090.wav,Masked Owl,chattering,20.59,23.65,original
FR002A_00045720_20250423T010000_16kHz_3150_3180.wav,Masked Owl,chattering,16.82,18.72,original
FR002A_00045720_20250423T010000_16kHz_3150_3180(1).wav,Masked Owl,chattering,18.72,20.76,original
FR002A_00045720_20250423T010000_16kHz_3240_3270.wav,Masked Owl,chattering,8.77,11.27,original
FR002A_00045720_20250423T010000_16kHz_3300_3330.wav,Masked Owl,chattering,18.34,20.3,original
FR002A_00045720_20250423T010000_16kHz_3300_3330(1).wav,Masked Owl,chattering,20.53,22.35,original
FR002A_00045720_20250423T010000_16kHz_3330_3360(1).wav,Masked Owl,chattering,7.1,8.5,original
FR002A_00045720_20250423T010000_16kHz_3330_3360(2).wav,Masked Owl,chattering,8.46,9.86,original
FR002A_00045720_20250423T010000_16kHz_3330_3360(3).wav,Masked Owl,chattering,10.05,12.74,original
FR002A_00045720_20250423T010000_16kHz_3390_3420.wav,Masked Owl,chattering,1.86,2.99,original
FR002A_00045720_20250423T020000_16kHz_1740_1770.wav,Masked Owl,screech,17.12,19.99,original
FR002A_00045720_20250423T020000_16kHz_2730_2760.wav,Masked Owl,screech,2.7,6.47,original
FR002A_00045720_20250423T020000_16kHz_2970_3000.wav,Masked Owl,screech,25.28,27.8,original
FR002A_00045720_20250423T020000_16kHz_3200_3230.wav,Masked Owl,screech,7.43,10.3,original
FR002A_00045720_20250423T020000_16kHz_3510_3540.wav,Masked Owl,screech,4.34,6.6,original
FR002A_00045720_20250423T020000_16kHz_30_60.wav,Masked Owl,chattering,25.86,27.26,original
FR002A_00045720_20250423T020000_16kHz_30_60(1).wav,Masked Owl,chattering,27.52,29.68,original
FR002A_00045720_20250423T020000_16kHz_130_160.wav,Masked Owl,chattering,17.2,19.09,original
FR002A_00045720_20250423T020000_16kHz_130_160(1).wav,Masked Owl,chattering,19.24,21.25,original
FR002A_00045720_20250423T020000_16kHz_300_330.wav,Masked Owl,chattering,10.07,12.64,original
FR002A_00045720_20250423T020000_16kHz_390_420.wav,Masked Owl,chattering,8.0,10.73,original
FR002A_00045720_20250423T020000_16kHz_390_420(1).wav,Masked Owl,chattering,16.55,18.22,original
FR002A_00045720_20250423T020000_16kHz_390_420(2).wav,Masked Owl,chattering,18.33,20.26,original
FR002A_00045720_20250423T020000_16kHz_1080_1110.wav,Masked Owl,chattering,4.14,6.29,original
FR002A_00045720_20250423T020000_16kHz_1080_1110(1).wav,Masked Owl,chattering,6.71,9.06,original
FR002A_00045720_20250423T020000_16kHz_1770_1800.wav,Masked Owl,screech,22.02,25.01,original
FR002A_00045720_20250423T020000_16kHz_1790_1820.wav,Masked Owl,chattering,5.65,8.87,original
FR002A_00045720_20250423T020000_16kHz_1790_1820(1).wav,Masked Owl,chattering,9.36,11.78,original
FR002A_00045720_20250423T020000_16kHz_2080_2110.wav,Masked Owl,screech,18.81,21.27,original
FR002A_00045720_20250423T020000_16kHz_2390_2420.wav,Masked Owl,screech,9.21,12.46,original
FR002A_00045720_20250428T010000_16kHz_1980_2010.wav,Masked Owl,screech,2.18,5.09,original
FR002A_00045720_20250428T010000_16kHz_1980_2010(1).wav,Masked Owl,chattering,8.09,10.7,original
FR002A_20240624_210000_16kHz_3360_3390.wav,Masked Owl,screech,1.93,4.43,original
FR002A_20240624_210000_16kHz_3420_3450.wav,Masked Owl,screech,21.99,25.22,original
FR002A_20240624_220000_16kHz_100_130.wav,Masked Owl,screech,17.0,20.34,original
FR002A_20240625_210000_16kHz_1260_1290.wav,Masked Owl,screech,20.64,22.64,original
FR002A_20240626_000000_16kHz_1980_2010.wav,Masked Owl,screech,0.54,2.71,original
FR002A_20240626_000000_16kHz_1950_1980.wav,Masked Owl,screech,1.97,4.72,original
FR002A_20240626_190000_16kHz_830_860.wav,Masked Owl,screech,9.93,12.81,original
FR002A_20240626_190000_16kHz_1170_1200.wav,Masked Owl,screech,24.15,27.2,original
FR002A_20240626_190000_16kHz_690_720.wav,Masked Owl,screech,4.28,6.86,original
FR002A_20240626_210000_16kHz_2430_2460.wav,Masked Owl,screech,3.34,5.72,original
FR002A_20240626_230000_16kHz_960_990.wav,Masked Owl,screech,25.71,28.12,original
FR002A_20240626_230000_16kHz_1290_1320.wav,Masked Owl,screech,16.84,19.13,original
FR002A_20240626_230000_16kHz_1380_1410.wav,Masked Owl,screech,18.21,20.77,original
FR002A_20240626_230000_16kHz_1440_1470.wav,Masked Owl,screech,6.05,8.61,original
FR002A_20240626_230000_16kHz_1470_1500.wav,Masked Owl,screech,7.33,9.83,original
FR002A_20240627_210000_16kHz_30_60.wav,Masked Owl,screech,12.18,14.92,original
FR002A_20240627_210000_16kHz_750_780.wav,Masked Owl,screech,23.82,26.13,original
FR002A_20240627_210000_16kHz_840_870.wav,Masked Owl,screech,9.59,12.47,original
FR002A_20240627_210000_16kHz_1000_1030.wav,Masked Owl,screech,19.71,22.61,original
FR002A_20240627_210000_16kHz_1260_1290.wav,Masked Owl,screech,14.08,17.42,original
FR002A_20240627_210000_16kHz_1350_1380.wav,Masked Owl,screech,23.49,26.57,original
FR002A_20240627_220000_16kHz_1950_1980.wav,Masked Owl,screech,26.23,28.88,original
FR002A_20240627_220000_16kHz_1770_1800.wav,Masked Owl,screech,25.06,27.66,original
FR002A_20240628_010000_16kHz_2100_2130.wav,Masked Owl,screech,14.55,17.54,original
FR002A_20240628_010000_16kHz_2970_3000.wav,Masked Owl,screech,24.01,26.68,original
FR002A_20240628_010000_16kHz_3300_3330.wav,Masked Owl,screech,22.31,25.12,original
FR002A_20240628_020000_16kHz_2930_2960.wav,Masked Owl,screech,8.72,11.62,original
FR002A_20240628_020000_16kHz_3300_3330.wav,Masked Owl,screech,14.47,17.24,original
FR002A_20240628_020000_16kHz_3540_3570.wav,Masked Owl,screech,2.34,5.47,original
FR002A_20240628_030000_16kHz_30_60.wav,Masked Owl,screech,11.84,15.68,original
FR002A_20240628_030000_16kHz_600_630.wav,Masked Owl,screech,13.79,16.81,original
FR002A_20240628_030000_16kHz_630_660.wav,Masked Owl,screech,14.75,17.96,original
FR002A_20240628_030000_16kHz_810_840.wav,Masked Owl,screech,25.15,29.3,original
FR002A_20240628_030000_16kHz_870_900.wav,Masked Owl,screech,25.45,29.0,original
FR002A_20240628_030000_16kHz_1020_1050.wav,Masked Owl,screech,20.59,23.7,original
FR002A_20240628_030000_16kHz_30_60(1).wav,Masked Owl,screech,22.24,26.5,original
FR002A_20240628_030000_16kHz_120_150.wav,Masked Owl,screech,1.39,6.92,original
FR002A_20240628_030000_16kHz_240_270.wav,Masked Owl,screech,22.28,26.66,original
FR002A_20240628_040000_16kHz_280_310.wav,Masked Owl,screech,19.67,23.67,original
FR002A_20240628_040000_16kHz_890_920.wav,Masked Owl,screech,9.1,13.08,original
FR002A_20240628_040000_16kHz_1020_1050.wav,Masked Owl,screech,6.17,9.23,original
FR002A_20240628_040000_16kHz_1110_1140.wav,Masked Owl,screech,10.6,14.67,original
FR002A_20240628_040000_16kHz_1260_1290.wav,Masked Owl,screech,9.03,14.24,original
FR002A_20240628_040000_16kHz_1350_1380.wav,Masked Owl,screech,19.32,23.47,original
FR002A_20240628_040000_16kHz_1590_1620.wav,Masked Owl,screech,17.54,21.54,original
FR002A_20240628_040000_16kHz_1020_1050(1).wav,Masked Owl,screech,10.64,14.43,original
FR002A_20240628_050000_16kHz_1740_1770.wav,Masked Owl,screech,14.18,17.69,original
FR002A_20240628_050000_16kHz_2420_2450.wav,Masked Owl,screech,7.6,11.25,original
FR002A_20240628_050000_16kHz_2530_2560.wav,Masked Owl,screech,0.63,3.83,original
FR002A_20240628_050000_16kHz_2530_2560(1).wav,Masked Owl,screech,17.6,21.23,original
FR002A_20240628_050000_16kHz_2670_2700.wav,Masked Owl,screech,5.24,9.33,original
FR002A_20240628_050000_16kHz_2730_2760.wav,Masked Owl,screech,19.24,21.31,original
FR002A_20240628_050000_16kHz_3000_3030.wav,Masked Owl,screech,18.78,21.88,original
FR002A_20240628_050000_16kHz_3030_3060.wav,Masked Owl,screech,20.74,22.81,original
FR002A_20240628_050000_16kHz_3090_3120.wav,Masked Owl,screech,23.74,25.81,original
FR002A_20240628_050000_16kHz_2430_2460.wav,Masked Owl,screech,11.69,15.44,original
FR002A_20240628_050000_16kHz_2460_2490.wav,Masked Owl,screech,18.58,23.61,original
FR002A_20240628_050000_16kHz_2580_2610.wav,Masked Owl,screech,8.12,11.32,original
FR002A_20240628_050000_16kHz_2620_2650.wav,Masked Owl,screech,18.42,23.58,original
FR002A_20240630_000000_16kHz_2490_2520.wav,Masked Owl,screech,22.74,25.69,original
FR002A_20240630_000000_16kHz_2640_2670.wav,Masked Owl,screech,20.02,23.83,original
FR002A_20240630_180000_16kHz_2370_2400.wav,Masked Owl,screech,2.71,5.94,original
FR002A_20240630_180000_16kHz_2220_2250.wav,Masked Owl,screech,6.14,9.67,original
FR002A_20240630_180000_16kHz_2510_2540.wav,Masked Owl,screech,9.18,13.09,original
FR002A_20240702_180000_16kHz_3060_3090.wav,Masked Owl,screech,8.62,11.7,original
FR002A_20240702_180000_16kHz_2790_2820.wav,Masked Owl,screech,23.52,26.79,original
FR002A_20240702_180000_16kHz_2640_2670.wav,Masked Owl,screech,19.24,22.83,original
FR002A_20240702_190000_16kHz_360_390.wav,Masked Owl,screech,25.43,27.49,original
FR002A_20240702_190000_16kHz_930_960.wav,Masked Owl,screech,5.65,7.85,original
FR002A_20240702_190000_16kHz_10_40.wav,Masked Owl,screech,18.89,21.1,original
FR002A_20240702_200000_16kHz_1500_1530.wav,Masked Owl,screech,6.69,9.03,original
FR002A_20240702_200000_16kHz_2550_2580.wav,Masked Owl,screech,3.71,5.99,original
FR002A_20240702_200000_16kHz_2450_2480.wav,Masked Owl,screech,9.04,10.94,original
FR002A_20240702_200000_16kHz_2580_2610.wav,Masked Owl,screech,13.5,15.85,original
FR002A_20240702_200000_16kHz_2670_2700.wav,Masked Owl,screech,11.35,13.48,original
FR002A_20240703_190000_16kHz_1620_1650.wav,Masked Owl,chattering,7.45,15.0,original
FR002A_20240703_190000_16kHz_1770_1800.wav,Masked Owl,screech,6.55,9.38,original
FR002A_20240703_190000_16kHz_1500_1530.wav,Masked Owl,chattering,15.03,20.82,original
FR002A_20240703_190000_16kHz_1560_1590.wav,Masked Owl,chattering,20.19,24.76,original
FR002A_20240703_190000_16kHz_1690_1720.wav,Masked Owl,chattering,19.73,27.18,original
FR002A_20240703_190000_16kHz_1950_1980.wav,Masked Owl,screech,12.11,14.3,original
FR002A_20240703_190000_16kHz_2160_2190.wav,Masked Owl,screech,18.69,21.37,original
FR002A_20240703_190000_16kHz_1560_1590(1).wav,Masked Owl,chattering,16.52,20.16,original
FR002A_20240703_210000_16kHz_1500_1530.wav,Masked Owl,screech,14.38,17.11,original
FR002A_20240703_210000_16kHz_1800_1830.wav,Masked Owl,screech,21.89,24.52,original
FR002A_20240703_210000_16kHz_1620_1650.wav,Masked Owl,screech,23.44,26.24,original
FR002A_20240703_210000_16kHz_1920_1950.wav,Masked Owl,screech,5.17,8.06,original
